country;cumulative_total_cases;daily_new_cases;active_cases;cumulative_total_deaths;daily_new_deaths
Afghanistan;38140.0;11.0;7679.0;1402.0;1.0
Afghanistan;38143.0;3.0;7678.0;1402.0;0.0
Afghanistan;38162.0;19.0;7671.0;1402.0;0.0
Afghanistan;38165.0;3.0;7674.0;1402.0;0.0
Afghanistan;38196.0;31.0;7559.0;1406.0;4.0
Afghanistan;38243.0;47.0;7519.0;1409.0;3.0
Afghanistan;38288.0;45.0;7489.0;1409.0;0.0
Afghanistan;38304.0;16.0;7182.0;1409.0;0.0
Afghanistan;38324.0;20.0;6833.0;1409.0;0.0
Afghanistan;38398.0;74.0;6449.0;1412.0;3.0
Afghanistan;38494.0;96.0;6522.0;1415.0;3.0
Afghanistan;38520.0;26.0;6387.0;1418.0;3.0
Afghanistan;38544.0;24.0;6076.0;1420.0;2.0
Afghanistan;38572.0;28.0;6023.0;1420.0;0.0
Afghanistan;38606.0;34.0;6032.0;1420.0;0.0
Afghanistan;38641.0;35.0;5987.0;1420.0;0.0
Afghanistan;38716.0;75.0;5658.0;1420.0;0.0
Afghanistan;38772.0;56.0;5274.0;1425.0;5.0
Afghanistan;38815.0;43.0;5291.0;1426.0;1.0
Afghanistan;38855.0;40.0;4916.0;1436.0;10.0
Afghanistan;38872.0;17.0;4931.0;1436.0;0.0
Afghanistan;38883.0;11.0;4870.0;1437.0;1.0
Afghanistan;38919.0;36.0;4906.0;1437.0;0.0
Afghanistan;39044.0;125.0;5027.0;1441.0;4.0
Afghanistan;39074.0;30.0;5054.0;1444.0;3.0
Afghanistan;39096.0;22.0;5075.0;1445.0;1.0
Afghanistan;39145.0;49.0;5089.0;1446.0;1.0
Afghanistan;39170.0;25.0;5100.0;1451.0;5.0
Afghanistan;39186.0;16.0;5116.0;1451.0;0.0
Afghanistan;39192.0;6.0;5104.0;1453.0;2.0
Afghanistan;39227.0;35.0;5132.0;1453.0;0.0
Afghanistan;39233.0;6.0;5136.0;1455.0;2.0
Afghanistan;39254.0;21.0;5050.0;1458.0;3.0
Afghanistan;39268.0;14.0;5021.0;1458.0;0.0
Afghanistan;39285.0;17.0;4985.0;1458.0;0.0
Afghanistan;39290.0;5.0;4990.0;1458.0;0.0
Afghanistan;39297.0;7.0;4993.0;1462.0;4.0
Afghanistan;39341.0;44.0;5027.0;1462.0;0.0
Afghanistan;39422.0;81.0;5077.0;1466.0;4.0
Afghanistan;39486.0;64.0;5042.0;1467.0;1.0
Afghanistan;39548.0;62.0;5034.0;1469.0;2.0
Afghanistan;39616.0;68.0;5088.0;1470.0;1.0
Afghanistan;39693.0;77.0;5163.0;1472.0;2.0
Afghanistan;39703.0;10.0;5166.0;1473.0;1.0
Afghanistan;39799.0;96.0;5208.0;1477.0;4.0
Afghanistan;39870.0;71.0;5273.0;1479.0;2.0
Afghanistan;39928.0;58.0;5140.0;1480.0;1.0
Afghanistan;39994.0;66.0;5159.0;1481.0;1.0
Afghanistan;40026.0;32.0;5098.0;1481.0;0.0
Afghanistan;40073.0;47.0;5072.0;1485.0;4.0
Afghanistan;40141.0;68.0;5092.0;1488.0;3.0
Afghanistan;40200.0;59.0;5094.0;1492.0;4.0
Afghanistan;40287.0;87.0;5030.0;1497.0;5.0
Afghanistan;40357.0;70.0;5068.0;1499.0;2.0
Afghanistan;40510.0;153.0;5185.0;1501.0;2.0
Afghanistan;40626.0;116.0;5290.0;1505.0;4.0
Afghanistan;40687.0;61.0;5170.0;1507.0;2.0
Afghanistan;40768.0;81.0;5234.0;1511.0;4.0
